Tempo,SP,PV_Ideal,Sinal_Controle_Ideal
25.7,40,39.3134167077135,39.9055906172958
25.8,40,39.3472155278882,39.8889961127099
25.9,40,39.3612856068021,39.8879594798699
26,40,39.3816157137244,39.8815895429125
26.1,40,39.375039526634,39.8968498601587
26.2,40,39.3795303299369,39.9031847322373
26.3,40,39.387146362157,39.9068975646667
26.4,40,39.4016232912673,39.9048900487183
26.5,40,39.3950525459147,39.9198258042657
26.6,40,39.4101132453317,39.9172154328068
26.7,40,39.4081465495979,39.9282584446002
26.8,40,39.4191007805342,39.9287894473626
26.9,40,39.4356520483738,39.924578000317
27,40,39.4485715415062,39.923065261147
27.1,40,39.4686859365159,39.915474770155
27.2,40,39.4874937789487,39.9086285957456
27.3,40,39.4893883886682,39.9152826937513
27.4,40,39.5003666874159,39.9144941877545
27.5,40,39.4992169946095,39.9234264700858
27.6,40,39.494530321854,39.9352633231405
27.7,40,39.5124138102188,39.9287579114853
27.8,40,39.5206584693236,39.9298316486922
27.9,40,39.5282169074375,39.9313334276821
28,40,39.5452199136735,39.9250075040745
28.1,40,39.5586269848445,39.9213438153802
28.2,40,39.5692764832292,39.9197157929407
28.3,40,39.5885939629971,39.9108443057185
28.4,40,39.6041804797228,39.9047082046624
28.5,40,39.6125051426757,39.9042483920172
28.6,40,39.611447013197,39.9113117433891
28.7,40,39.610933919424,39.9179472756966
28.8,40,39.6288157904858,39.9095807261995
28.9,40,39.6184171186517,39.9240049897683
29,40,39.6242259745217,39.9253702894799
29.1,40,39.6108941516716,39.9422614413333
29.2,40,39.6275592709166,39.9348883976026
29.3,40,39.6421763583667,39.9289199059086
29.4,40,39.6478657664262,39.9300025271983
29.5,40,39.6527511131985,39.9316502319693
29.6,40,39.6336578256807,39.9527863367726
29.7,40,39.6457309850991,39.9487961134762
29.8,40,39.6300255166635,39.9672800799581
29.9,40,39.6137411909276,39.9864876814921
30,40,39.6219134627167,39.9859992486573
30.1,40,39.6197322533995,39.9938285000567
30.2,40,39.6312138855073,39.9905437722023
30.3,40,39.6450316233316,39.9851690759696
30.4,40,39.6602589173234,39.978423098099
30.5,40,39.6597160563896,39.9843019299437
30.6,40,39.6705924238744,39.9808713571739
30.7,40,39.6777326953216,39.980315416891
30.8,40,39.6919028755987,39.9739088266597
30.9,40,39.7027952783144,39.9699501800342
31,40,39.7169749908295,39.9631348101688
31.1,40,39.720543009418,39.9647517071473
31.2,40,39.7239212735616,39.9664663554554
31.3,40,39.7387016131816,39.9588228579485
31.4,40,39.7220347080638,39.9766038267138
31.5,40,39.7220797742179,39.981014497403
31.6,40,39.7146272973663,39.9915424421264
31.7,40,39.7163227412808,39.9947249231343
31.8,40,39.7282578288293,39.9895247278342
31.9,40,39.7416065065715,39.9829800815354
32,40,39.7363374082625,39.9914139616504
32.1,40,39.7367243578097,39.9953168122876
32.2,40,39.7432014686301,39.9942439001332
32.3,40,39.7452828008036,39.9966543095816
32.4,40,39.7532484940777,39.994229779057
32.5,40,39.7619798248566,39.9910530372362
32.6,40,39.7573085420513,39.9986731268077
32.7,40,39.7603371441137,40.0000848508519
32.8,40,39.7439753159294,40.0172707083445
32.9,40,39.7607267679843,40.0076979184128
33,40,39.7593887085787,40.0126181466
33.1,40,39.7524840740968,40.022102109
33.2,40,39.7553086480691,40.023757511453
33.3,40,39.7464797400655,40.0348769620149
33.4,40,39.7519838834236,40.0344419051936
33.5,40,39.752025971609,40.0383758190996
33.6,40,39.7792575323308,40.0201224500048
33.7,40,39.7952985397863,40.0105648674038
33.8,40,39.7748402659828,40.0305340421909
33.9,40,39.7842727713557,40.0264396735509
34,40,39.7752255048798,40.0372738786535
34.1,40,39.7778891948675,40.0386966995455
34.2,40,39.7846812388544,40.0367081645343
34.3,40,39.7970747692374,40.0300401439201
34.4,40,39.7989844468058,40.0317286507165
34.5,40,39.8191995079076,40.0184494097085
34.6,40,39.8183833234761,40.0220082240781
34.7,40,39.8256579539061,40.0189779924716
34.8,40,39.8360672558894,40.0132734747907
34.9,40,39.8404195976995,40.0123448877795
35,40,39.8525459634875,40.0050030597333
35.1,40,39.858764840724,40.0022877204925
35.2,40,39.8538432167752,40.0085635281831
35.3,40,39.8390324904405,40.0229875894038
35.4,40,39.861076348534,40.0075752813525
35.5,40,39.8579919728711,40.0123149103169
35.6,40,39.8620711015859,40.0112584697196
35.7,40,39.8706009358317,40.0065049873497
35.8,40,39.8744167019766,40.0054617072022
35.9,40,39.8680541772828,40.0126628601207
36,40,39.8662869364312,40.0162160618191
36.1,40,39.868019238701,40.016941912184
36.2,40,39.8856107753387,40.0046989104685
36.3,40,39.8794462320574,40.0115594053806
36.4,40,39.8898309864962,40.0050143060456
36.5,40,39.8951673428458,40.0024225434804
36.6,40,39.8949757685658,40.0042561906073
36.7,40,39.8866749345795,40.0127100588431
36.8,40,39.8863574133151,40.0147823572415
36.9,40,39.8880421062833,40.0152259291665
37,40,39.8760125287546,40.0268333907293
37.1,40,39.8809017136224,40.0248276154171
37.2,40,39.8756103885227,40.0310509092805
37.3,40,39.8777552727206,40.0312909175586
37.4,40,39.8841242172846,40.028049774431
37.5,40,39.8780174589754,40.0348869017347
37.6,40,39.8782697528698,40.0366327505732
37.7,40,39.884871403836,40.0331934873389
37.8,40,39.8696321545455,40.0474707722986
37.9,40,39.8834104438171,40.0383135737803
38,40,39.9104815048923,40.0180890208418
38.1,40,39.9221109779285,40.010031666766
38.2,40,39.9207255719944,40.0124083823614
38.3,40,39.9267846621306,40.0087325556583
38.4,40,39.9181504026179,40.0169495568266
38.5,40,39.938698870682,40.0014916004444
38.6,40,39.9492558476443,39.9938579253122
38.7,40,39.9579342734599,39.9875882362844
38.8,40,39.9498497250639,39.9948582794001
38.9,40,39.9539086628199,39.9923485905903
39,40,39.9491423406251,39.9969753708961
39.1,40,39.947006140255,39.9995322329481
39.2,40,39.9424027502874,40.0041365009176
39.3,40,39.93346971724,40.0123474118797
39.4,40,39.926034416117,40.0194791021202
39.5,40,39.9258066220304,40.020848431437
39.6,40,39.9108686945789,40.0342248742849
39.7,40,39.9193269593436,40.0287490311237
39.8,40,39.9203273803295,40.0292234562497
39.9,40,39.9294058181931,40.0230902128677
40,40,39.9339305939217,40.0205275027821
40.1,40,39.9405390973365,40.0161920744928
40.2,40,39.9273532447063,40.0279031046817
40.3,40,39.9192429711254,40.0356834360084
40.4,40,39.9171230996919,40.0387053635602
40.5,40,39.9206162826147,40.0371809567001
40.6,40,39.9340996574257,40.0274486623325
40.7,40,39.9330772651184,40.0293373399364
40.8,40,39.9474735312624,40.018660750521
40.9,40,39.9535901536547,40.0145100101487
41,40,39.9664209823214,40.0047826114982
41.1,40,39.9684374536568,40.0036744351714
41.2,40,39.9626322792462,40.0089164582319
41.3,40,39.9488819339053,40.0207346235621
41.4,40,39.9518441566896,40.0191353388277
41.5,40,39.9612808129023,40.0122055208511
41.6,40,39.9593923730985,40.0143659947245
41.7,40,39.9551267794878,40.0184964411413
41.8,40,39.9533258241528,40.0206839922228
41.9,40,39.9438026041377,40.0292017265688
42,40,39.9406124958522,40.0327040132635
42.1,40,39.9406465905528,40.0336263920542
42.2,40,39.9429415713333,40.0327033422884
42.3,40,39.944087478286,40.0326812170737
42.4,40,39.9518943757991,40.0272053890504
42.5,40,39.95446795146,40.0258750412984
42.6,40,39.9738418628529,40.0107944423784
42.7,40,39.9776628158327,40.0080950749413
42.8,40,39.9961311002822,39.9933823497771
42.9,40,39.9889172890475,39.9993307221401
43,40,39.9943366537951,39.9950858438813
43.1,40,39.9917748325853,39.9972669035278
43.2,40,39.997825391816,39.9924612498742
43.3,40,40.0035994835479,39.9877843847519
43.4,40,39.9816432595537,40.0056430717944
